                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4093,                 5.2863,                  4.234,                      0,                      0,                      0,                      0,                 2.0186,                  4.766,                 4.1567,                0.00025,                0.00025,                0.00025
                      2,                 2.4367,                 5.0531,                 4.0818,                      0,                      0,                      0,                      0,                 1.9977,                 4.7534,                 4.1217,             0.00051081,             0.00051081,             0.00051081
                      3,                 2.3313,                  4.746,                 3.8244,                      0,                      0,                      0,                      0,                 1.9532,                 4.7841,                 4.0792,             0.00076989,             0.00076989,             0.00076989
                      4,                 2.2563,                 4.4653,                 3.6023,                      0,                      0,                      0,                      0,                 1.9177,                 4.7931,                 4.0137,              0.0010272,              0.0010272,              0.0010272
                      5,                 2.1969,                 4.4116,                 3.5386,                0.00742,                0.21793,                0.00549,                0.00137,                 1.8569,                 4.4272,                 3.5165,              0.0012335,              0.0012335,              0.0012335
                      6,                 1.9405,                  4.312,                  3.344,                0.00196,                0.26265,                0.00721,                0.00139,                 1.8532,                 4.3801,                 3.5417,              0.0012335,              0.0012335,              0.0012335
                      7,                 1.8709,                 4.2006,                 3.2677,                0.53957,                0.07841,                0.02112,                 0.0062,                 1.7831,                 3.9235,                  3.239,              0.0012294,              0.0012294,              0.0012294
                      8,                 1.8715,                 4.1258,                  3.216,                0.26483,                0.01364,                0.01806,                0.00468,                 1.6989,                 3.5869,                 3.1601,              0.0012252,              0.0012252,              0.0012252
                      9,                 1.7418,                 3.9931,                 3.1296,                0.80405,                0.10114,                0.07955,                0.02674,                 1.5911,                 3.6235,                 3.1038,              0.0012211,              0.0012211,              0.0012211
                     10,                 1.7617,                 3.9503,                  3.082,                0.34899,                0.11023,                0.08212,                0.02985,                 1.5282,                 3.4767,                 3.0047,               0.001217,               0.001217,               0.001217
                     11,                 1.7449,                  3.936,                 3.0778,                 0.3746,                0.11357,                0.07441,                0.02539,                 1.5518,                 3.4542,                  3.036,              0.0012129,              0.0012129,              0.0012129
                     12,                 1.6499,                 3.7476,                 2.9865,                0.31739,                  0.075,                0.04763,                 0.0197,                 1.5446,                 3.7188,                 3.0663,              0.0012087,              0.0012087,              0.0012087
                     13,                 1.5992,                   3.75,                 2.9756,                0.39736,                0.16499,                0.09629,                0.02763,                  1.455,                 3.8705,                 2.9747,              0.0012046,              0.0012046,              0.0012046
                     14,                 1.5683,                 3.6836,                 2.9535,                0.34222,                0.05298,                0.07223,                0.02611,                 1.4553,                 3.4905,                 3.0763,              0.0012005,              0.0012005,              0.0012005
                     15,                 1.5877,                  3.637,                 2.9313,                 0.4404,                0.16591,                0.09902,                0.03484,                 1.5148,                 3.3932,                 3.0002,              0.0011964,              0.0011964,              0.0011964
                     16,                 1.5642,                 3.6177,                 2.9662,                0.56978,                 0.1125,                0.07812,                  0.025,                 1.4366,                 7.5537,                 2.9656,              0.0011922,              0.0011922,              0.0011922
                     17,                 1.5103,                  3.564,                 2.8912,                0.47992,                 0.1125,                0.10754,                0.03849,                 1.3777,                 3.5115,                  2.908,              0.0011881,              0.0011881,              0.0011881
                     18,                 1.4775,                  3.444,                 2.8698,                0.39802,                 0.0875,                0.09253,                0.02694,                 1.4081,                 3.3395,                 2.9425,               0.001184,               0.001184,               0.001184
                     19,                 1.4601,                  3.435,                 2.8389,                0.33042,                0.13636,                0.06242,                0.02288,                   1.37,                 3.5609,                 2.8962,              0.0011799,              0.0011799,              0.0011799
                     20,                 1.4147,                 3.3217,                 2.8132,                0.41971,                0.17273,                0.15409,                0.06371,                 1.3311,                  3.116,                 2.8215,              0.0011757,              0.0011757,              0.0011757
                     21,                 1.4257,                 3.2604,                 2.7906,                0.70334,                0.11705,                0.12704,                0.06081,                 1.2771,                 4.3816,                 2.7561,              0.0011716,              0.0011716,              0.0011716
                     22,                 1.4374,                 3.2761,                 2.7614,                0.49965,                 0.2125,                0.19079,                0.07805,                 1.3413,                 3.0384,                 2.8187,              0.0011675,              0.0011675,              0.0011675
                     23,                 1.3811,                 3.2436,                 2.7679,                0.44165,                0.21885,                0.15982,                0.06913,                 1.3185,                  3.011,                 2.7966,              0.0011634,              0.0011634,              0.0011634
                     24,                  1.381,                  3.166,                 2.7386,                0.43344,                0.24091,                0.21091,                  0.093,                 1.2978,                 2.8188,                 2.7644,              0.0011593,              0.0011593,              0.0011593
                     25,                 1.3522,                 3.1153,                  2.722,                0.35195,                0.26655,                   0.25,                0.09059,                 1.2682,                 3.0017,                 2.7417,              0.0011551,              0.0011551,              0.0011551
                     26,                 1.3558,                 3.0858,                 2.6925,                0.48688,                0.23864,                0.19695,                0.07062,                 1.4864,                 3.1201,                 2.8566,               0.001151,               0.001151,               0.001151
                     27,                 1.3634,                 3.0422,                 2.6834,                0.45003,                0.25341,                0.19988,                0.07848,                 1.2372,                 2.8517,                 2.7165,              0.0011469,              0.0011469,              0.0011469
                     28,                 1.3478,                 3.0453,                 2.6959,                0.49213,                0.26472,                0.21289,                0.07853,                 1.1984,                 2.7827,                 2.6714,              0.0011428,              0.0011428,              0.0011428
                     29,                 1.2484,                 2.9284,                 2.6219,                0.58719,                 0.2593,                0.25116,                0.09534,                 1.3723,                 2.8872,                   2.78,              0.0011386,              0.0011386,              0.0011386
                     30,                 1.2949,                 2.9882,                 2.6323,                0.51678,                0.27614,                0.28225,                0.11622,                 1.2617,                 2.6712,                 2.6602,              0.0011345,              0.0011345,              0.0011345
                     31,                 1.2649,                   2.94,                 2.6533,                 0.3134,                0.29496,                0.29054,                0.11274,                 1.1944,                 2.6854,                  2.669,              0.0011304,              0.0011304,              0.0011304
                     32,                 1.2672,                 2.8868,                 2.6196,                0.74984,                0.22386,                0.29522,                0.12075,                 1.1908,                  2.586,                 2.5958,              0.0011263,              0.0011263,              0.0011263
                     33,                 1.2812,                 2.8745,                 2.6034,                0.28877,                 0.3678,                0.25741,                0.10283,                 1.3155,                 2.6759,                 2.7091,              0.0011221,              0.0011221,              0.0011221
                     34,                 1.2493,                 2.8274,                 2.6208,                0.27149,                0.27515,                0.21019,                0.08186,                 1.4068,                 2.9223,                 2.8291,               0.001118,               0.001118,               0.001118
                     35,                 1.2562,                 2.8347,                 2.5976,                0.40084,                0.33308,                0.27923,                0.12962,                 1.2346,                  2.725,                  2.647,              0.0011139,              0.0011139,              0.0011139
                     36,                 1.2276,                 2.7106,                 2.5668,                0.39733,                0.32562,                0.33645,                0.15557,                 1.1611,                 2.5371,                  2.613,              0.0011098,              0.0011098,              0.0011098
                     37,                 1.2201,                 2.7376,                 2.5651,                0.42581,                0.41378,                0.35505,                0.15234,                 1.1799,                 2.4716,                 2.5633,              0.0011056,              0.0011056,              0.0011056
                     38,                 1.2083,                 2.6705,                 2.5508,                 0.3926,                0.35647,                0.37122,                0.15668,                 1.2257,                 2.5243,                 2.6844,              0.0011015,              0.0011015,              0.0011015
                     39,                 1.1839,                 2.6188,                 2.5416,                0.54561,                0.37465,                0.39437,                0.16818,                 1.1392,                 2.4805,                 2.5695,              0.0010974,              0.0010974,              0.0010974
                     40,                 1.2371,                 2.6981,                 2.5408,                0.41989,                0.33928,                0.34041,                0.14152,                 1.2141,                 2.7689,                 2.5922,              0.0010933,              0.0010933,              0.0010933
                     41,                 1.2322,                  2.672,                 2.5606,                0.32543,                0.40458,                0.29538,                0.12001,                 1.1722,                 2.5628,                 2.5976,              0.0010891,              0.0010891,              0.0010891
                     42,                  1.214,                 2.6215,                 2.5649,                0.41125,                0.38623,                0.35395,                0.13615,                 1.2037,                 2.5442,                 2.6184,               0.001085,               0.001085,               0.001085
                     43,                 1.1997,                  2.588,                 2.5237,                0.40528,                 0.2893,                0.32232,                0.13387,                 1.1042,                  2.429,                 2.5351,              0.0010809,              0.0010809,              0.0010809
                     44,                 1.1814,                 2.5848,                 2.4979,                0.34828,                0.37233,                0.37025,                0.14617,                 1.2426,                 2.6689,                  2.612,              0.0010768,              0.0010768,              0.0010768
                     45,                 1.2129,                 2.5378,                 2.4856,                0.46399,                0.33878,                0.38794,                0.17045,                 1.1321,                 2.4438,                 2.4738,              0.0010726,              0.0010726,              0.0010726
                     46,                  1.154,                  2.492,                 2.4697,                0.45763,                0.44173,                0.43257,                0.16326,                 1.2232,                 2.4494,                 2.6089,              0.0010685,              0.0010685,              0.0010685
                     47,                 1.1682,                 2.5237,                 2.4754,                0.54514,                0.33971,                0.38523,                0.16163,                 1.2751,                 2.5646,                 2.6141,              0.0010644,              0.0010644,              0.0010644
                     48,                 1.1785,                 2.5284,                 2.4856,                0.38113,                0.38915,                0.37578,                0.14972,                  1.301,                 2.4254,                 2.6019,              0.0010603,              0.0010603,              0.0010603
                     49,                 1.1559,                 2.4587,                 2.4625,                0.51893,                0.42388,                0.42891,                0.17984,                 1.2146,                  2.404,                 2.5705,              0.0010561,              0.0010561,              0.0010561
                     50,                 1.1713,                 2.4082,                 2.4468,                0.37252,                0.51715,                0.43556,                0.17371,                 1.2355,                 2.2954,                 2.5799,               0.001052,               0.001052,               0.001052
                     51,                 1.1818,                 2.4701,                 2.4617,                0.41592,                0.49818,                0.44117,                0.19282,                 1.1118,                 2.4284,                 2.4885,              0.0010479,              0.0010479,              0.0010479
                     52,                 1.1502,                 2.4143,                  2.426,                0.61904,                0.49313,                  0.517,                0.20231,                 1.0948,                 2.2321,                 2.4755,              0.0010438,              0.0010438,              0.0010438
                     53,                  1.152,                 2.3494,                 2.4141,                0.42529,                0.54983,                0.44169,                0.19349,                 1.1766,                 2.2937,                 2.5123,              0.0010396,              0.0010396,              0.0010396
                     54,                 1.1335,                 2.3836,                 2.3845,                0.49499,                0.48501,                0.47395,                 0.2031,                 1.1278,                 2.1091,                 2.4548,              0.0010355,              0.0010355,              0.0010355
                     55,                 1.1511,                 2.2697,                 2.3802,                0.45761,                0.40229,                0.38431,                0.15929,                 1.1946,                 2.3989,                 2.5581,              0.0010314,              0.0010314,              0.0010314
                     56,                 1.1383,                 2.2916,                 2.3813,                0.46475,                0.45566,                0.44712,                0.18314,                  1.185,                 2.2749,                  2.501,              0.0010273,              0.0010273,              0.0010273
                     57,                 1.1174,                 2.2713,                 2.4094,                0.56347,                0.46178,                0.52388,                0.20716,                 1.1813,                 2.2795,                 2.5244,              0.0010231,              0.0010231,              0.0010231
                     58,                 1.1258,                 2.2993,                 2.4251,                 0.4258,                0.45879,                0.41038,                0.17171,                 1.1829,                 2.3652,                 2.5383,               0.001019,               0.001019,               0.001019
                     59,                 1.1064,                  2.269,                 2.3598,                0.42469,                0.39667,                0.41701,                0.16902,                 1.2267,                 2.2696,                 2.5558,              0.0010149,              0.0010149,              0.0010149
                     60,                 1.1177,                 2.2545,                  2.376,                0.52399,                0.47562,                0.48067,                0.20569,                 1.1874,                 2.2547,                 2.5008,              0.0010107,              0.0010107,              0.0010107
                     61,                 1.1117,                 2.2325,                 2.3449,                0.58226,                0.42122,                 0.4909,                 0.2157,                 1.1191,                 2.1043,                 2.4476,              0.0010066,              0.0010066,              0.0010066
                     62,                 1.1359,                 2.1462,                 2.3635,                0.59031,                0.48487,                 0.5287,                0.21593,                 1.1696,                 2.1501,                 2.4691,              0.0010025,              0.0010025,              0.0010025
                     63,                 1.0891,                 2.2431,                 2.3551,                0.52381,                0.47915,                0.50571,                0.20549,                 1.1951,                 2.1535,                 2.5107,             0.00099837,             0.00099837,             0.00099837
                     64,                 1.0767,                 2.1898,                 2.3552,                0.60346,                0.44135,                0.50856,                  0.229,                 1.1064,                 2.2155,                  2.473,             0.00099425,             0.00099425,             0.00099425
                     65,                 1.0609,                 2.1543,                 2.3417,                0.51148,                0.51105,                0.45382,                0.21282,                 1.1745,                 2.2861,                 2.4996,             0.00099013,             0.00099013,             0.00099013
                     66,                 1.0807,                 2.1593,                 2.3177,                0.52231,                0.49236,                 0.4883,                0.19669,                 1.2866,                 2.1083,                 2.5956,               0.000986,               0.000986,               0.000986
                     67,                 1.0627,                 2.1856,                 2.3328,                0.52816,                0.52328,                0.48782,                0.21007,                 1.1733,                 2.2143,                 2.4985,             0.00098187,             0.00098187,             0.00098187
                     68,                 1.0983,                 2.1423,                 2.3189,                0.49256,                0.51843,                0.44977,                0.18132,                 1.3042,                 2.2715,                 2.6009,             0.00097775,             0.00097775,             0.00097775
                     69,                 1.0785,                 2.0819,                 2.3325,                0.53625,                0.52283,                0.48863,                0.18797,                 1.2665,                 2.3062,                 2.6036,             0.00097362,             0.00097362,             0.00097362
                     70,                  1.073,                 2.0969,                  2.306,                0.51401,                0.47093,                0.51381,                0.20633,                 1.2051,                 2.1357,                 2.5227,              0.0009695,              0.0009695,              0.0009695
                     71,                 1.0608,                 2.1196,                 2.3005,                 0.4806,                0.39944,                0.43223,                0.18657,                 1.1588,                 2.2979,                  2.421,             0.00096537,             0.00096537,             0.00096537
                     72,                 1.0643,                 2.0716,                 2.3102,                0.45833,                0.53898,                0.50223,                 0.2151,                 1.2949,                 2.1736,                 2.5755,             0.00096125,             0.00096125,             0.00096125
                     73,                 1.0466,                 2.0562,                 2.2765,                0.70793,                0.52283,                0.60444,                0.25091,                 1.1946,                 2.0417,                 2.5011,             0.00095712,             0.00095712,             0.00095712
                     74,                 1.0185,                 2.0029,                 2.2659,                0.63219,                 0.4715,                0.56455,                0.25209,                 1.1785,                 2.1258,                  2.517,               0.000953,               0.000953,               0.000953
                     75,                 1.0625,                 1.9762,                  2.278,                0.57259,                0.48063,                 0.5607,                0.24021,                 1.1825,                 2.1049,                 2.4416,             0.00094887,             0.00094887,             0.00094887
