                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7177,                 3.4344,                 1.7575,                0.17386,                0.19314,                 0.0995,                0.03221,                 2.7236,                 4.7377,                 3.6936,             0.00041188,             0.00041188,             0.00041188
                      2,                 1.8544,                 2.5995,                 1.8461,                0.39952,                0.11979,                0.13293,                0.04306,                 2.5715,                 3.5066,                 2.6373,             0.00082581,             0.00082581,             0.00082581
                      3,                 2.0024,                 2.7081,                 1.9556,                0.36817,                0.14583,                0.08318,                0.02905,                 2.5272,                 8.4849,                 2.7151,               0.001237,               0.001237,               0.001237
                      4,                  1.984,                 2.6282,                 1.9556,                0.28115,                 0.3831,                0.01816,                0.00663,                 2.2929,                 58.245,                 2.4693,              0.0012376,              0.0012376,              0.0012376
                      5,                  1.978,                 2.5745,                  1.964,                0.62776,                 0.3063,                0.23598,                0.10352,                 2.3684,                  2.799,                   2.52,              0.0012376,              0.0012376,              0.0012376
                      6,                  1.908,                 2.4257,                 1.9101,                0.23568,                 0.2226,                0.24133,                0.10285,                 2.2229,                 2.5646,                 2.3654,              0.0012335,              0.0012335,              0.0012335
                      7,                 1.8572,                 2.3529,                 1.8284,                0.47775,                0.27025,                0.20648,                0.08862,                 2.3849,                  2.338,                 2.4104,              0.0012294,              0.0012294,              0.0012294
                      8,                 1.8078,                 2.2715,                 1.8437,                 0.3157,                0.38004,                0.30623,                0.12718,                 2.1956,                 2.1982,                 2.3191,              0.0012252,              0.0012252,              0.0012252
                      9,                 1.7831,                 2.1742,                 1.7924,                0.70042,                0.32002,                0.35002,                0.14051,                 2.4238,                 2.1389,                 2.5449,              0.0012211,              0.0012211,              0.0012211
                     10,                 1.7291,                 1.9672,                 1.7494,                0.28835,                0.36169,                0.32753,                 0.1322,                 2.1962,                 2.0738,                 2.3481,               0.001217,               0.001217,               0.001217
                     11,                 1.7329,                 1.9915,                 1.7588,                0.56371,                  0.369,                0.34334,                0.13731,                 2.2342,                 2.1238,                 2.2037,              0.0012129,              0.0012129,              0.0012129
                     12,                 1.6873,                 1.8822,                 1.7185,                0.30104,                0.36442,                0.31216,                0.13568,                   2.16,                 2.1033,                 2.2224,              0.0012087,              0.0012087,              0.0012087
                     13,                 1.6483,                 1.9063,                  1.692,                0.29803,                0.33712,                0.31317,                0.13554,                 2.2139,                 2.0712,                 2.2166,              0.0012046,              0.0012046,              0.0012046
                     14,                 1.7027,                 1.9405,                 1.7512,                0.35671,                0.38909,                0.38689,                 0.1594,                 2.2898,                 1.9359,                 2.3674,              0.0012005,              0.0012005,              0.0012005
                     15,                 1.6622,                 1.8608,                  1.714,                0.39928,                0.44263,                 0.3865,                0.16963,                 2.2487,                 1.8123,                   2.28,              0.0011964,              0.0011964,              0.0011964
                     16,                 1.6185,                 1.7419,                 1.6778,                0.51118,                0.54117,                0.49768,                0.20596,                 2.2593,                 1.8956,                 2.4409,              0.0011922,              0.0011922,              0.0011922
                     17,                 1.5767,                 1.7026,                 1.6536,                0.35751,                0.40882,                0.30463,                0.13709,                 2.1942,                 1.9856,                 2.2632,              0.0011881,              0.0011881,              0.0011881
                     18,                 1.6192,                 1.8084,                 1.6952,                0.55589,                0.35839,                0.40058,                0.15486,                 2.1947,                 1.9851,                 2.2291,               0.001184,               0.001184,               0.001184
                     19,                 1.6249,                 1.7442,                 1.6825,                0.41256,                0.40104,                0.42049,                0.17507,                 2.1939,                 1.7221,                 2.2341,              0.0011799,              0.0011799,              0.0011799
                     20,                 1.5625,                  1.666,                 1.6361,                0.34248,                 0.5011,                 0.4242,                0.18627,                 2.1275,                  1.831,                 2.1797,              0.0011757,              0.0011757,              0.0011757
                     21,                 1.5478,                 1.6352,                  1.606,                0.39738,                0.49058,                0.49325,                0.19171,                 2.1923,                  1.547,                 2.2156,              0.0011716,              0.0011716,              0.0011716
                     22,                 1.5644,                 1.6329,                  1.616,                 0.5098,                0.46235,                0.46583,                0.21012,                 2.0886,                 1.6521,                 2.1532,              0.0011675,              0.0011675,              0.0011675
                     23,                 1.5063,                 1.5174,                 1.5995,                0.56467,                0.40592,                0.46737,                0.19403,                 2.0653,                 1.7956,                 2.1237,              0.0011634,              0.0011634,              0.0011634
                     24,                 1.4906,                 1.5748,                 1.5745,                  0.452,                0.52991,                0.49946,                0.23002,                  2.019,                 1.6052,                 2.0451,              0.0011593,              0.0011593,              0.0011593
                     25,                 1.5052,                 1.5095,                  1.598,                 0.6099,                0.47925,                0.48213,                0.20083,                 2.0972,                 1.7364,                 2.2236,              0.0011551,              0.0011551,              0.0011551
                     26,                 1.4627,                   1.48,                 1.5545,                0.49432,                0.61103,                0.49075,                 0.1877,                 2.3022,                 1.5832,                 2.3216,               0.001151,               0.001151,               0.001151
                     27,                 1.4645,                 1.4421,                 1.5576,                0.48512,                0.59888,                0.49507,                 0.2099,                 2.2183,                 1.5851,                 2.2839,              0.0011469,              0.0011469,              0.0011469
