                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.7518,                 9.5168,                 4.1721,                  4e-05,                0.00455,                  2e-05,                      0,                 6.7377,                 6.3131,                 4.1557,              0.0001375,              0.0001375,              0.0001375
                      2,                 6.2656,                 6.7802,                 4.0081,                  4e-05,                0.00455,                  2e-05,                  1e-05,                 6.6459,                 6.0993,                  4.076,             0.00028655,             0.00028655,             0.00028655
                      3,                 5.6841,                  5.471,                 3.7118,                  8e-05,                0.01542,                  5e-05,                  2e-05,                 6.1304,                 4.7551,                 3.6433,             0.00043461,             0.00043461,             0.00043461
                      4,                  4.471,                 4.4055,                  3.295,                  8e-05,                0.02628,                  7e-05,                  2e-05,                 5.6203,                 4.3496,                 3.4277,             0.00058168,             0.00058168,             0.00058168
                      5,                 3.4678,                  3.714,                 2.7085,                 0.0001,                0.04802,                  7e-05,                  2e-05,                 5.3083,                 4.3426,                 3.3243,             0.00072777,             0.00072777,             0.00072777
                      6,                      3,                 3.2124,                 2.3527,                0.00055,                0.18043,                0.00266,                0.00059,                 3.6365,                 4.0411,                 2.7611,             0.00087286,             0.00087286,             0.00087286
                      7,                 2.7447,                 2.8532,                  2.214,                0.76914,                0.00909,                0.00772,                0.00246,                 3.6574,                 4.0945,                 2.7577,               0.001017,               0.001017,               0.001017
                      8,                 2.6536,                 2.7475,                  2.104,                0.52762,                0.07955,                 0.0235,                0.00822,                 3.0838,                 6.2387,                 2.5973,              0.0011601,              0.0011601,              0.0011601
                      9,                 2.4947,                 2.7142,                  2.041,                0.77248,                   0.05,                0.01721,                0.00347,                 3.3756,                 5.3298,                 2.6107,               0.001217,               0.001217,               0.001217
                     10,                 2.3774,                 2.5622,                 1.9828,                0.52895,                0.03981,                0.01618,                0.00354,                 3.4908,                 3.6808,                 2.7781,               0.001217,               0.001217,               0.001217
                     11,                 2.3362,                 2.5127,                 1.9213,                0.78255,                 0.1125,                0.02273,                0.00624,                 2.8735,                 4.5749,                 2.4526,              0.0012129,              0.0012129,              0.0012129
                     12,                 2.2413,                 2.5382,                 1.8819,                  0.538,                0.14659,                0.01881,                0.00461,                 2.7574,                 3.4097,                 2.3502,              0.0012087,              0.0012087,              0.0012087
                     13,                 2.2473,                 2.4817,                 1.8171,                0.84459,                0.12183,                0.13193,                0.04497,                 2.2374,                 2.7855,                 2.0248,              0.0012046,              0.0012046,              0.0012046
                     14,                 2.1015,                 2.3757,                 1.7926,                0.89582,                 0.1375,                0.15029,                0.04525,                 2.7529,                 5.2291,                  2.296,              0.0012005,              0.0012005,              0.0012005
                     15,                 2.0606,                   2.45,                 1.7554,                0.89706,                    0.1,                0.13626,                0.04345,                 2.3414,                 2.5276,                 2.0541,              0.0011964,              0.0011964,              0.0011964
                     16,                 2.0906,                 2.4221,                  1.756,                0.69714,                0.19473,                0.17479,                0.05815,                 1.8846,                 2.6316,                 1.8724,              0.0011922,              0.0011922,              0.0011922
                     17,                 2.0508,                 2.3838,                 1.7019,                0.55163,                0.02585,                0.01858,                0.00631,                 3.2236,                  4.076,                 2.6496,              0.0011881,              0.0011881,              0.0011881
                     18,                  1.965,                  2.354,                 1.6737,                0.97553,                  0.075,                0.16516,                0.07337,                 1.7705,                 2.6057,                 1.8377,               0.001184,               0.001184,               0.001184
                     19,                 1.9811,                 2.3563,                 1.6583,                0.68239,                0.13165,                 0.1411,                0.04918,                 2.0707,                 2.4877,                 1.8996,              0.0011799,              0.0011799,              0.0011799
                     20,                 1.8852,                 2.3027,                 1.6324,                0.69051,                0.18761,                0.17051,                 0.0587,                 2.0193,                 2.4554,                 1.8947,              0.0011757,              0.0011757,              0.0011757
                     21,                 1.8915,                 2.2518,                 1.6227,                0.86532,                0.17399,                0.19104,                0.07094,                 1.7466,                 2.5924,                 1.7752,              0.0011716,              0.0011716,              0.0011716
                     22,                 1.8879,                 2.2383,                 1.6192,                0.75237,                0.21477,                0.22815,                0.08233,                 1.7629,                 2.3076,                 1.7922,              0.0011675,              0.0011675,              0.0011675
                     23,                 1.8627,                 2.2348,                 1.6233,                0.76369,                0.25899,                0.27177,                0.11751,                 1.6144,                 2.2406,                 1.6993,              0.0011634,              0.0011634,              0.0011634
                     24,                 1.8536,                 2.2346,                 1.6164,                0.69688,                0.19885,                0.21447,                0.08145,                 1.7651,                 2.1887,                  1.762,              0.0011593,              0.0011593,              0.0011593
                     25,                 1.8984,                 2.2458,                 1.6283,                0.77101,                0.19886,                0.18967,                0.07069,                 1.6837,                 2.4837,                 1.7161,              0.0011551,              0.0011551,              0.0011551
                     26,                 1.7529,                 2.1661,                 1.5791,                0.77313,                0.21023,                0.23358,                0.08809,                 1.8325,                  2.706,                 1.8147,               0.001151,               0.001151,               0.001151
                     27,                 1.7615,                  2.186,                 1.5673,                0.73883,                0.16705,                0.22064,                0.09528,                 1.4955,                 2.1253,                 1.5917,              0.0011469,              0.0011469,              0.0011469
                     28,                 1.7627,                 2.1319,                 1.5521,                0.82927,                0.18184,                0.22866,                0.09789,                 1.6704,                 2.3483,                 1.6997,              0.0011428,              0.0011428,              0.0011428
                     29,                 1.7728,                 2.2064,                 1.5529,                0.80338,                0.14205,                0.19685,                0.06549,                 1.9046,                 2.2567,                 1.7712,              0.0011386,              0.0011386,              0.0011386
                     30,                 1.8064,                 2.1927,                 1.5759,                0.71806,                0.25568,                0.28742,                0.10885,                 1.6354,                 2.0581,                 1.7032,              0.0011345,              0.0011345,              0.0011345
                     31,                 1.7719,                 2.2034,                 1.5657,                0.46947,                0.34837,                0.29519,                0.11821,                 1.6468,                 2.0444,                 1.6623,              0.0011304,              0.0011304,              0.0011304
                     32,                 1.7418,                 2.1483,                 1.5545,                0.79207,                0.20312,                0.26812,                0.09302,                 1.7539,                 2.1811,                 1.7427,              0.0011263,              0.0011263,              0.0011263
                     33,                 1.7512,                 2.0267,                 1.5082,                0.84459,                0.21413,                0.29912,                0.11996,                 1.4809,                 2.0952,                 1.6125,              0.0011221,              0.0011221,              0.0011221
