                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7999,                 4.1761,                 1.6877,                0.00297,                0.54864,                 0.1032,                0.03685,                 2.0798,                 4.1872,                 1.8773,              0.0032653,              0.0032653,              0.0032653
                      2,                 1.7275,                 3.0464,                  1.558,                0.44461,                 0.1429,                0.17612,                0.06146,                 2.1361,                 3.8503,                 2.0059,              0.0065921,              0.0065921,              0.0065921
                      3,                 1.7608,                 2.7097,                 1.5774,                0.28668,                0.13871,                0.13166,                0.05231,                 2.4324,                 3.8534,                 2.2974,              0.0099123,              0.0099123,              0.0099123
                      4,                 1.8709,                 2.5324,                 1.6724,                0.15426,                0.17994,                0.10105,                0.03488,                 2.7293,                 16.392,                 2.8109,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.8231,                 2.3209,                 1.6598,                0.14961,                0.16897,                0.07804,                0.02391,                 2.9504,                 3.4326,                  2.507,              0.0099703,              0.0099703,              0.0099703
                      6,                 1.7758,                 2.1174,                 1.6258,                0.33526,                0.34203,                0.28633,                0.08878,                  2.496,                   2.87,                 2.2598,              0.0099604,              0.0099604,              0.0099604
                      7,                 1.7306,                 1.9943,                 1.6012,                0.26199,                0.25506,                0.21483,                 0.0732,                 2.4355,                 3.1024,                 2.3151,              0.0099505,              0.0099505,              0.0099505
                      8,                 1.6989,                 1.8942,                 1.5592,                0.28493,                0.29084,                0.22675,                0.08117,                 2.2599,                 2.7655,                 2.0541,              0.0099406,              0.0099406,              0.0099406
                      9,                 1.6814,                 1.8238,                 1.5628,                0.32964,                0.35904,                0.28562,                0.10619,                 2.3154,                 2.8429,                 2.1349,              0.0099307,              0.0099307,              0.0099307
                     10,                 1.6688,                 1.7508,                 1.5348,                0.33864,                0.36749,                0.32132,                0.10989,                 2.4806,                 2.6504,                 2.1469,              0.0099208,              0.0099208,              0.0099208
                     11,                 1.6428,                 1.6941,                 1.5337,                0.42536,                0.37219,                0.36452,                0.14533,                 2.2995,                  2.535,                 2.2171,              0.0099109,              0.0099109,              0.0099109
                     12,                 1.6264,                 1.6615,                 1.5122,                 0.3904,                0.29719,                0.28865,                0.10338,                 2.4314,                 2.6464,                 2.0972,               0.009901,               0.009901,               0.009901
