                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9175,                 3.5639,                 1.9753,                 0.3546,                   0.25,                0.13088,                0.04196,                 2.3839,                 13.259,                 2.7065,             0.00041519,             0.00041519,             0.00041519
                      2,                  2.217,                 3.5185,                 2.2363,                0.00019,                0.03067,                 0.0001,                  4e-05,                 2.6566,                    inf,                 3.5221,             0.00082911,             0.00082911,             0.00082911
                      3,                 2.3352,                 3.4616,                 2.3464,                0.86145,                0.05729,                0.07989,                0.02483,                 2.6148,                 9.3985,                  2.859,              0.0012403,              0.0012403,              0.0012403
