                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4928,                 4.9472,                  4.223,                  4e-05,                0.00455,                  2e-05,                      0,                 3.1201,                 4.6541,                 4.1577,                0.00015,                0.00015,                0.00015
                      2,                  3.448,                 4.7729,                 4.1572,                  4e-05,                0.00455,                  2e-05,                  1e-05,                 3.1166,                 4.6524,                 4.1477,             0.00031147,             0.00031147,             0.00031147
                      3,                   3.18,                 4.3926,                 4.0104,                  4e-05,                0.00455,                  2e-05,                  1e-05,                 3.1186,                 4.6641,                 4.1381,             0.00047187,             0.00047187,             0.00047187
                      4,                 2.7898,                 4.1415,                 3.6841,                  5e-05,                0.00455,                  2e-05,                      0,                 3.1193,                 4.6535,                 4.1388,             0.00063119,             0.00063119,             0.00063119
                      5,                 2.3864,                 3.9741,                 3.4238,                  7e-05,                0.01542,                  4e-05,                  1e-05,                 3.0881,                 4.5476,                 4.0881,             0.00078944,             0.00078944,             0.00078944
                      6,                 2.2533,                 3.8885,                 3.2333,                0.00106,                0.23775,                0.00105,                0.00021,                 2.8434,                 4.3893,                 3.7542,             0.00094662,             0.00094662,             0.00094662
                      7,                 2.1244,                 3.6768,                 3.0187,                0.00137,                0.28824,                0.02412,                0.00695,                 2.5576,                 4.5745,                  3.469,              0.0011027,              0.0011027,              0.0011027
                      8,                 2.0355,                 3.6486,                 2.9745,                 0.5236,                0.03864,                0.00481,                0.00111,                 2.5718,                 4.8995,                 3.6384,              0.0012211,              0.0012211,              0.0012211
                      9,                 1.8777,                 3.4742,                 2.8346,                0.56643,                0.08182,                0.03292,                0.00733,                 2.4229,                 4.6413,                 3.2956,              0.0012211,              0.0012211,              0.0012211
                     10,                 1.8072,                 3.3259,                 2.7313,                0.57578,                0.03977,                 0.0244,                0.00785,                 2.3873,                 4.0648,                 3.4644,               0.001217,               0.001217,               0.001217
                     11,                 1.7932,                 3.2608,                 2.7441,                 0.7061,                0.11591,                0.09214,                0.02971,                  1.802,                  4.204,                 2.9138,              0.0012129,              0.0012129,              0.0012129
                     12,                 1.7572,                 3.2332,                 2.6662,                0.81872,                0.10909,                0.14689,                0.04304,                 1.8579,                 3.6334,                 2.8443,              0.0012087,              0.0012087,              0.0012087
                     13,                 1.6636,                 3.0623,                 2.6089,                0.83338,                0.09397,                0.09807,                0.03306,                 1.7938,                 4.0487,                 2.9381,              0.0012046,              0.0012046,              0.0012046
                     14,                 1.6745,                 3.0564,                 2.6099,                 0.6138,                 0.1872,                0.12509,                0.03529,                 1.9053,                 15.287,                 3.3589,              0.0012005,              0.0012005,              0.0012005
                     15,                 1.6314,                 2.9862,                 2.5449,                0.89284,                 0.0875,                0.11963,                0.03372,                 1.7159,                 3.3268,                 2.6803,              0.0011964,              0.0011964,              0.0011964
                     16,                 1.5982,                 2.9358,                 2.5235,                0.88775,                 0.1375,                0.16062,                0.05102,                  1.622,                 3.9507,                 2.5909,              0.0011922,              0.0011922,              0.0011922
                     17,                 1.5644,                 2.9209,                 2.5102,                0.59703,                 0.1375,                0.16226,                0.05554,                 1.7028,                 4.2434,                 2.6405,              0.0011881,              0.0011881,              0.0011881
                     18,                 1.5203,                 2.7951,                 2.4291,                 0.9373,                0.14941,                0.23736,                0.10063,                 1.4259,                 2.6598,                 2.3656,               0.001184,               0.001184,               0.001184
                     19,                 1.4836,                 2.7731,                 2.4348,                0.24662,                0.19939,                0.23542,                0.08741,                 1.4878,                 2.7308,                 2.5166,              0.0011799,              0.0011799,              0.0011799
                     20,                 1.4935,                 2.8261,                 2.4486,                0.44973,                0.24318,                0.19967,                0.07476,                 1.5422,                 2.7399,                 2.5284,              0.0011757,              0.0011757,              0.0011757
                     21,                 1.4459,                 2.7128,                 2.3874,                0.91119,                0.13619,                0.22728,                0.08138,                 1.4455,                 2.8598,                  2.393,              0.0011716,              0.0011716,              0.0011716
                     22,                 1.4133,                 2.6087,                  2.365,                0.45451,                  0.325,                0.25681,                0.09077,                 1.5077,                 2.9212,                   2.44,              0.0011675,              0.0011675,              0.0011675
                     23,                 1.4297,                 2.5968,                 2.3563,                0.40827,                0.22955,                 0.2046,                0.08569,                 1.4753,                 2.9339,                 2.4041,              0.0011634,              0.0011634,              0.0011634
                     24,                 1.4268,                 2.6728,                 2.3656,                0.24527,                0.27273,                0.21866,                0.07878,                 1.5439,                 2.7691,                 2.5138,              0.0011593,              0.0011593,              0.0011593
                     25,                 1.3741,                 2.5842,                  2.327,                0.46201,                0.29912,                0.21588,                0.09329,                 1.5258,                 2.7589,                 2.4336,              0.0011551,              0.0011551,              0.0011551
                     26,                 1.3708,                 2.5893,                 2.3482,                0.68522,                 0.2967,                0.27757,                0.11806,                  1.393,                 2.6324,                 2.3601,               0.001151,               0.001151,               0.001151
                     27,                 1.3388,                  2.536,                 2.3137,                0.57859,                0.36413,                0.32869,                0.13437,                 1.3874,                 2.5085,                 2.4218,              0.0011469,              0.0011469,              0.0011469
                     28,                 1.3357,                 2.5347,                 2.2844,                0.32648,                0.32964,                0.31772,                0.12888,                  1.359,                 2.4612,                  2.372,              0.0011428,              0.0011428,              0.0011428
                     29,                 1.3462,                 2.4339,                 2.2727,                0.51568,                0.30819,                0.29605,                0.09848,                 1.3803,                 2.6352,                 2.4007,              0.0011386,              0.0011386,              0.0011386
                     30,                 1.3075,                 2.4071,                 2.2863,                0.29996,                0.31269,                0.27273,                0.10233,                 1.4951,                 2.5265,                 2.4591,              0.0011345,              0.0011345,              0.0011345
                     31,                 1.3143,                 2.4043,                 2.2462,                0.60649,                0.25427,                0.27372,                0.10859,                 1.3016,                 2.6199,                 2.3082,              0.0011304,              0.0011304,              0.0011304
                     32,                 1.2901,                 2.4602,                 2.2312,                 0.5239,                0.30568,                0.27272,                0.10838,                 1.3649,                 2.8771,                 2.3156,              0.0011263,              0.0011263,              0.0011263
                     33,                 1.2587,                  2.403,                 2.2651,                0.24531,                0.36961,                0.31008,                0.13246,                 1.3293,                 2.5778,                 2.3425,              0.0011221,              0.0011221,              0.0011221
                     34,                 1.3088,                 2.3924,                 2.2905,                0.39864,                 0.3956,                0.34731,                0.13975,                 1.2736,                  2.779,                 2.3677,               0.001118,               0.001118,               0.001118
                     35,                 1.2833,                  2.393,                 2.2568,                0.38253,                0.42675,                0.37455,                0.13902,                 1.3351,                 2.4293,                 2.3832,              0.0011139,              0.0011139,              0.0011139
                     36,                 1.2954,                 2.3841,                 2.2637,                0.31172,                0.32579,                0.29127,                0.11687,                 1.3664,                 2.5142,                 2.3539,              0.0011098,              0.0011098,              0.0011098
                     37,                 1.2486,                 2.3438,                 2.2277,                0.35719,                0.37579,                0.32327,                0.13148,                 1.3392,                 2.5868,                  2.421,              0.0011056,              0.0011056,              0.0011056
                     38,                  1.237,                 2.2712,                 2.1888,                0.43852,                0.40094,                0.38754,                0.15711,                 1.2676,                 2.3629,                 2.2536,              0.0011015,              0.0011015,              0.0011015
                     39,                 1.2427,                 2.2378,                 2.2145,                0.46278,                0.37174,                0.38127,                0.16481,                 1.2255,                 2.3933,                 2.3484,              0.0010974,              0.0010974,              0.0010974
                     40,                  1.233,                 2.2575,                 2.1941,                0.40899,                0.41344,                0.37318,                0.15435,                 1.3159,                 2.3645,                  2.262,              0.0010933,              0.0010933,              0.0010933
                     41,                 1.2492,                 2.2091,                 2.1806,                0.60946,                0.37862,                0.40056,                0.15631,                 1.3495,                 2.3013,                 2.2839,              0.0010891,              0.0010891,              0.0010891
                     42,                   1.23,                 2.2286,                 2.1546,                0.44204,                 0.4043,                0.39639,                0.17221,                 1.2954,                 2.2853,                 2.2935,               0.001085,               0.001085,               0.001085
                     43,                 1.1993,                 2.1987,                 2.1493,                0.44354,                0.37291,                 0.3602,                0.14941,                 1.2799,                 2.3881,                 2.2396,              0.0010809,              0.0010809,              0.0010809
