                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5327,                 2.5365,                 1.6599,                0.58138,                 0.1155,                0.07949,                0.02502,                 2.7042,                 5.0658,                 2.8469,             0.00041479,             0.00041479,             0.00041479
                      2,                 1.7175,                 2.3714,                 1.8084,                0.07857,                0.13857,                0.03822,                0.01379,                 2.8914,                 3.8746,                 3.0024,             0.00082871,             0.00082871,             0.00082871
                      3,                 1.7269,                  2.298,                 1.8351,                0.41008,                0.14483,                0.11655,                0.03902,                 2.5564,                 3.8128,                 2.8172,              0.0012399,              0.0012399,              0.0012399
                      4,                 1.6415,                 2.1556,                 1.7552,                0.19956,                0.18696,                0.16034,                0.06451,                 2.5326,                 3.4714,                  2.527,              0.0012376,              0.0012376,              0.0012376
                      5,                 1.5952,                 2.0688,                 1.7219,                0.25157,                0.27726,                0.19203,                0.07665,                 2.4282,                 3.1207,                   2.56,              0.0012376,              0.0012376,              0.0012376
                      6,                 1.5647,                 1.9617,                 1.7035,                0.27168,                0.25794,                0.23382,                0.10169,                 2.2844,                 2.9372,                 2.4888,              0.0012335,              0.0012335,              0.0012335
                      7,                 1.4813,                 1.8969,                 1.6487,                0.27129,                0.27172,                 0.2368,                0.10526,                 2.4506,                 2.9987,                 2.6037,              0.0012294,              0.0012294,              0.0012294
                      8,                 1.4566,                 1.7774,                  1.618,                0.36926,                0.25011,                0.27506,                0.10829,                 2.3987,                 2.7707,                 2.4699,              0.0012252,              0.0012252,              0.0012252
                      9,                 1.4224,                 1.7476,                  1.592,                0.26982,                0.33929,                0.24054,                0.10344,                 2.2673,                  2.688,                 2.4043,              0.0012211,              0.0012211,              0.0012211
                     10,                  1.374,                 1.7123,                 1.5686,                0.46342,                0.30899,                0.32597,                0.12185,                 2.2556,                 2.5683,                 2.4297,               0.001217,               0.001217,               0.001217
                     11,                 1.3718,                 1.6522,                 1.5641,                0.26774,                0.32672,                0.26091,                0.09652,                 2.3685,                 2.6293,                 2.4782,              0.0012129,              0.0012129,              0.0012129
                     12,                 1.3623,                 1.6224,                 1.5505,                0.37511,                0.40109,                  0.371,                0.15382,                 2.2723,                 2.4091,                 2.3808,              0.0012087,              0.0012087,              0.0012087
                     13,                 1.3027,                 1.5978,                 1.5151,                0.35528,                0.33537,                0.30339,                 0.1259,                   2.34,                 2.5364,                 2.3913,              0.0012046,              0.0012046,              0.0012046
                     14,                 1.2802,                 1.5203,                 1.4955,                0.52965,                0.33642,                0.35428,                0.15205,                 2.2517,                 2.3973,                 2.3717,              0.0012005,              0.0012005,              0.0012005
                     15,                 1.3056,                 1.4872,                 1.5142,                0.40401,                0.39932,                0.36398,                0.16045,                 2.1604,                  2.341,                 2.3474,              0.0011964,              0.0011964,              0.0011964
                     16,                 1.2487,                 1.4265,                 1.4555,                0.38091,                0.42112,                0.41797,                0.16888,                 2.1911,                 2.2015,                 2.3259,              0.0011922,              0.0011922,              0.0011922
                     17,                 1.2473,                 1.4438,                 1.4864,                0.77235,                0.24636,                0.35884,                0.13972,                 2.2898,                 2.4436,                 2.4425,              0.0011881,              0.0011881,              0.0011881
                     18,                  1.262,                 1.4466,                 1.4844,                0.40002,                0.41721,                0.40997,                0.18198,                 2.1645,                 2.2642,                 2.2779,               0.001184,               0.001184,               0.001184
                     19,                 1.2242,                 1.3681,                 1.4522,                0.44751,                0.37389,                0.35248,                0.15152,                 2.2562,                  2.365,                 2.3535,              0.0011799,              0.0011799,              0.0011799
