                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8292,                 4.6105,                 1.7603,                0.00204,                0.42411,                0.08015,                0.02994,                 1.9818,                 4.5362,                  1.844,              0.0032922,              0.0032922,              0.0032922
                      2,                  1.813,                 3.7793,                  1.627,                0.42013,                0.21015,                0.22743,                0.09052,                 2.1408,                 3.6989,                 1.8844,               0.006619,               0.006619,               0.006619
                      3,                 1.8536,                 3.4842,                 1.6675,                0.41445,                0.23378,                 0.1546,                0.06096,                 2.2933,                 3.9984,                 2.0044,              0.0099391,              0.0099391,              0.0099391
                      4,                  1.929,                 3.2978,                 1.6804,                0.50471,                0.30105,                0.28775,                0.12213,                 2.1605,                 2.8294,                  1.884,              0.0099703,              0.0099703,              0.0099703
                      5,                  1.903,                 2.9496,                 1.6681,                0.30249,                 0.3559,                0.29957,                0.12177,                 2.2488,                  2.698,                  1.874,              0.0099703,              0.0099703,              0.0099703
                      6,                 1.8722,                 2.7496,                 1.6513,                0.52466,                0.24894,                0.26232,                0.10369,                 2.2789,                 2.9748,                 2.0332,              0.0099604,              0.0099604,              0.0099604
                      7,                 1.9244,                 2.7058,                 1.6947,                0.31801,                0.34954,                0.28542,                 0.1114,                 2.1923,                 2.6451,                 2.0007,              0.0099505,              0.0099505,              0.0099505
                      8,                 1.8546,                 2.4231,                 1.6467,                 0.3567,                0.55566,                0.37295,                0.14549,                 2.1124,                  2.297,                 1.7646,              0.0099406,              0.0099406,              0.0099406
                      9,                 1.8199,                 2.3586,                 1.6036,                0.31654,                0.52586,                0.40614,                0.16405,                 2.0954,                 2.3823,                 1.8693,              0.0099307,              0.0099307,              0.0099307
                     10,                 1.7539,                 2.2036,                 1.5921,                0.30111,                0.34589,                0.30543,                 0.1256,                 2.1363,                 2.3642,                 1.8956,              0.0099208,              0.0099208,              0.0099208
                     11,                 1.7722,                 2.1736,                 1.5732,                0.27288,                0.30671,                0.24981,                 0.1101,                 2.2651,                 2.7671,                 2.0443,              0.0099109,              0.0099109,              0.0099109
                     12,                 1.7374,                  2.061,                 1.5491,                0.32416,                0.39537,                0.31801,                0.14351,                 2.1384,                 2.1987,                 1.8567,               0.009901,               0.009901,               0.009901
                     13,                 1.7463,                 2.0244,                 1.5678,                0.38211,                0.39735,                0.36096,                0.16611,                 2.1106,                 2.2891,                 1.8013,              0.0098911,              0.0098911,              0.0098911
                     14,                 1.7387,                 1.9958,                   1.56,                0.35263,                0.52811,                0.40268,                0.17063,                 2.1985,                  2.529,                 1.9452,              0.0098812,              0.0098812,              0.0098812
                     15,                 1.7427,                 1.9491,                 1.5542,                0.30908,                0.32523,                0.38166,                0.17706,                 2.1165,                 2.1312,                 1.8514,              0.0098713,              0.0098713,              0.0098713
